invoice_no,stock_code,description,quantity,invoice_date,unit_price,customer_id,country
536579,20727,LUNCH BAG  BLACK SKULL.,60,2010-12-01 16:16:00,1.45,13777,United Kingdom
536582,22635,CHILDS BREAKFAST SET DOLLY GIRL ,2,2010-12-01 16:21:00,9.95,12947,United Kingdom
536582,22771,CLEAR DRAWER KNOB ACRYLIC EDWARDIAN,24,2010-12-01 16:21:00,1.25,12947,United Kingdom
536587,22355,CHARLOTTE BAG SUKI DESIGN,10,2010-12-01 16:33:00,0.85,14142,United Kingdom
536592,21213,PACK OF 72 SKULL CAKE CASES,1,2010-12-01 17:06:00,1.28,,United Kingdom
536592,85017A,ENVELOPE 50 ROMANTIC IMAGES,1,2010-12-01 17:06:00,0.85,,United Kingdom
536592,85099B,JUMBO BAG RED RETROSPOT,1,2010-12-01 17:06:00,4.21,,United Kingdom
536592,21192,WHITE BELL HONEYCOMB PAPER ,2,2010-12-01 17:06:00,3.36,,United Kingdom
536592,22584,PACK OF 6 PANNETONE GIFT BOXES,1,2010-12-01 17:06:00,5.06,,United Kingdom
536592,22947,WOODEN ADVENT CALENDAR RED,1,2010-12-01 17:06:00,34.00,,United Kingdom
536592,90024C,NEW BAROQUE B'FLY NECKLACE GREEN,1,2010-12-01 17:06:00,8.49,,United Kingdom
536592,21429,RED GINGHAM ROSE JEWELLERY BOX,3,2010-12-01 17:06:00,3.36,,United Kingdom
536592,35916C,PINK FELT HANGING HEART W FLOWER,1,2010-12-01 17:06:00,1.66,,United Kingdom
536592,21537,RED RETROSPOT PUDDING BOWL,2,2010-12-01 17:06:00,8.47,,United Kingdom
536592,22694,WICKER STAR ,1,2010-12-01 17:06:00,4.21,,United Kingdom
536592,21879,HEARTS GIFT TAPE,1,2010-12-01 17:06:00,1.66,,United Kingdom
536592,21071,VINTAGE BILLBOARD DRINK ME MUG,1,2010-12-01 17:06:00,2.51,,United Kingdom
536592,21974,SET OF 36 PAISLEY FLOWER DOILIES,5,2010-12-01 17:06:00,2.98,,United Kingdom
536599,84945,MULTI COLOUR SILVER T-LIGHT HOLDER,36,2010-12-02 07:49:00,0.85,15694,United Kingdom
536602,22752,SET 7 BABUSHKA NESTING BOXES,2,2010-12-02 08:34:00,7.65,17850,United Kingdom
536611,21790,VINTAGE SNAP CARDS,12,2010-12-02 09:43:00,0.85,15752,United Kingdom
536613,22029,SPACEBOY BIRTHDAY CARD,12,2010-12-02 09:44:00,0.42,17855,United Kingdom
536612,21068,VINTAGE BILLBOARD LOVE/HATE MUG,6,2010-12-02 09:44:00,1.06,17850,United Kingdom
536613,21790,VINTAGE SNAP CARDS,12,2010-12-02 09:44:00,0.85,17855,United Kingdom
536616,21137,BLACK RECORD COVER FRAME,72,2010-12-02 10:10:00,3.39,17925,United Kingdom
536618,21791,VINTAGE HEADS AND TAILS CARD GAME ,24,2010-12-02 10:17:00,1.25,17017,United Kingdom
536617,21125,SET 6 FOOTBALL CELEBRATION CANDLES,12,2010-12-02 10:17:00,1.25,13941,United Kingdom
536623,72818,CHRISTMAS DECOUPAGE CANDLE,24,2010-12-02 10:39:00,0.85,15601,United Kingdom
536627,22777,GLASS BELL JAR LARGE,2,2010-12-02 10:53:00,8.50,15658,United Kingdom
536628,71053,WHITE METAL LANTERN,6,2010-12-02 10:54:00,3.39,17850,United Kingdom
536630,84406B,CREAM CUPID HEARTS COAT HANGER,6,2010-12-02 10:56:00,2.75,17850,United Kingdom
536634,20676,RED RETROSPOT BOWL,12,2010-12-02 11:21:00,1.25,18041,United Kingdom
536634,21210,SET OF 72 RETROSPOT PAPER  DOILIES,2,2010-12-02 11:21:00,1.45,18041,United Kingdom
536637,22315,200 RED + WHITE BENDY STRAWS,1,2010-12-02 11:35:00,1.25,18041,United Kingdom
536637,72818,CHRISTMAS DECOUPAGE CANDLE,1,2010-12-02 11:35:00,0.85,18041,United Kingdom
536638,22113,GREY HEART HOT WATER BOTTLE,4,2010-12-02 11:41:00,3.75,16244,United Kingdom
536638,22071,SMALL WHITE RETROSPOT MUG IN BOX ,6,2010-12-02 11:41:00,3.75,16244,United Kingdom
536643,22371,AIRLINE BAG VINTAGE TOKYO 78,1,2010-12-02 11:57:00,4.25,14390,United Kingdom
536690,84029E,RED WOOLLY HOTTIE WHITE HEART.,6,2010-12-02 12:25:00,3.39,17850,United Kingdom
536690,82494L,WOODEN FRAME ANTIQUE WHITE ,6,2010-12-02 12:25:00,2.55,17850,United Kingdom
536707,85132B,CHARLIE AND LOLA TABLE TINS,1,2010-12-02 12:33:00,9.95,12915,United Kingdom
536740,21217,RED RETROSPOT ROUND CAKE TINS,1,2010-12-02 13:08:00,9.95,15827,United Kingdom
536741,85049E,SCANDINAVIAN REDS RIBBONS,12,2010-12-02 13:11:00,1.25,13117,United Kingdom
536742,21922,UNION STRIPE WITH FRINGE  HAMMOCK,1,2010-12-02 13:14:00,7.95,16916,United Kingdom
536742,22973,CHILDREN'S CIRCUS PARADE MUG,1,2010-12-02 13:14:00,1.65,16916,United Kingdom
536743,22551,PLASTERS IN TIN SPACEBOY,1,2010-12-02 13:32:00,1.65,17964,United Kingdom
536747,22866,HAND WARMER SCOTTY DOG DESIGN,6,2010-12-02 13:44:00,2.10,17802,United Kingdom
536748,84945,MULTI COLOUR SILVER T-LIGHT HOLDER,12,2010-12-02 13:45:00,0.85,15107,United Kingdom
536749,21429,RED GINGHAM ROSE JEWELLERY BOX,2,2010-12-02 13:49:00,1.65,17976,United Kingdom
536749,20967,GREY FLORAL FELTCRAFT SHOULDER BAG,1,2010-12-02 13:49:00,3.75,17976,United Kingdom
536750,22803,IVORY EMBROIDERED QUILT ,2,2010-12-02 14:04:00,35.75,17850,United Kingdom
536753,22632,HAND WARMER RED POLKA DOT,6,2010-12-02 14:07:00,1.85,17850,United Kingdom
536754,21902,"KEY FOB , FRONT  DOOR ",4,2010-12-02 14:09:00,0.65,14449,United Kingdom
536755,84870C,GREEN GEISHA GIRL ,1,2010-12-02 14:14:00,3.75,,United Kingdom
536759,48111,DOORMAT 3 SMILEY CATS,4,2010-12-02 14:26:00,7.95,16781,United Kingdom
536778,21259,VICTORIAN SEWING BOX SMALL ,2,2010-12-02 15:03:00,5.95,13138,United Kingdom
536785,22659,LUNCH BOX I LOVE LONDON,128,2010-12-02 15:22:00,1.65,15061,United Kingdom
536787,82494L,WOODEN FRAME ANTIQUE WHITE ,6,2010-12-02 15:24:00,2.55,17850,United Kingdom
536787,37370,RETRO COFFEE MUGS ASSORTED,6,2010-12-02 15:24:00,1.06,17850,United Kingdom
536787,84029E,RED WOOLLY HOTTIE WHITE HEART.,6,2010-12-02 15:24:00,3.39,17850,United Kingdom
536793,22264,FELT FARM ANIMAL WHITE BUNNY ,12,2010-12-02 15:39:00,0.85,16203,United Kingdom
536796,21393,BLUE POLKADOT PUDDING BOWL,1,2010-12-02 15:46:00,2.10,15574,United Kingdom
536796,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,1,2010-12-02 15:46:00,2.95,15574,United Kingdom
536798,82599,FANNY'S REST STOPMETAL SIGN,12,2010-12-02 15:55:00,2.10,17838,United Kingdom
C536812,22593,CHRISTMAS GINGHAM STAR,-144,2010-12-02 16:58:00,0.72,16546,United Kingdom
536819,22429,ENAMEL MEASURING JUG CREAM,4,2010-12-02 17:12:00,4.25,13402,United Kingdom
536836,22649,STRAWBERRY FAIRY CAKE TEAPOT,1,2010-12-02 18:08:00,4.95,18168,United Kingdom
536837,21754,HOME BUILDING BLOCK WORD,3,2010-12-02 18:15:00,5.95,14395,United Kingdom
536839,22030,SWALLOWS GREETING CARD,36,2010-12-02 18:25:00,0.42,15093,United Kingdom
536845,20979,36 PENCILS TUBE RED RETROSPOT,4,2010-12-02 19:18:00,1.25,17961,United Kingdom
536846,22179,SET 10 LIGHTS NIGHT OWL,1,2010-12-02 19:59:00,6.75,14573,United Kingdom
536846,21912,VINTAGE SNAKES & LADDERS,1,2010-12-02 19:59:00,3.75,14573,United Kingdom
536846,22424,ENAMEL BREAD BIN CREAM,1,2010-12-02 19:59:00,12.75,14573,United Kingdom
536846,22834,HAND WARMER BABUSHKA DESIGN,6,2010-12-02 19:59:00,2.10,14573,United Kingdom
536860,22575,METAL MERRY CHRISTMAS WREATH,3,2010-12-03 10:43:00,1.95,16905,United Kingdom
536859,22812,PACK 3 BOXES CHRISTMAS PANNETONE,4,2010-12-03 10:43:00,1.95,12841,United Kingdom
536862,21086,SET/6 RED SPOTTY PAPER CUPS,2,2010-12-03 11:13:00,1.66,,United Kingdom
536864,22891,TEA FOR ONE POLKADOT,1,2010-12-03 11:27:00,8.47,,United Kingdom
536865,21157,RED RETROSPOT WASHBAG,1,2010-12-03 11:28:00,4.21,,United Kingdom
536865,21108,FAIRY CAKE FLANNEL ASSORTED COLOUR,1,2010-12-03 11:28:00,5.06,,United Kingdom
536865,22947,WOODEN ADVENT CALENDAR RED,1,2010-12-03 11:28:00,34.00,,United Kingdom
536865,84970l,SINGLE HEART ZINC T-LIGHT HOLDER,6,2010-12-03 11:28:00,2.13,,United Kingdom
536865,48111,DOORMAT 3 SMILEY CATS,2,2010-12-03 11:28:00,14.43,,United Kingdom
536874,21913,VINTAGE SEASIDE JIGSAW PUZZLES,1,2010-12-03 11:35:00,3.75,16891,United Kingdom
536876,20971,PINK BLUE FELT CRAFT TRINKET BOX,1,2010-12-03 11:36:00,2.51,,United Kingdom
536876,22768,FAMILY PHOTO FRAME CORNICE,1,2010-12-03 11:36:00,20.38,,United Kingdom
536876,22371,AIRLINE BAG VINTAGE TOKYO 78,3,2010-12-03 11:36:00,8.47,,United Kingdom
536876,21240,BLUE POLKADOT CUP,1,2010-12-03 11:36:00,1.66,,United Kingdom
536876,22491,PACK OF 12 COLOURED PENCILS,2,2010-12-03 11:36:00,1.66,,United Kingdom
536876,22099,CARAVAN SQUARE TISSUE BOX,1,2010-12-03 11:36:00,2.51,,United Kingdom
536876,85131B,BEADED CRYSTAL HEART GREEN ON STICK,3,2010-12-03 11:36:00,0.85,,United Kingdom
536876,22246,MAGIC GARDEN FELT GARLAND ,2,2010-12-03 11:36:00,4.21,,United Kingdom
536876,84031A,CHARLIE+LOLA RED HOT WATER BOTTLE ,2,2010-12-03 11:36:00,4.21,,United Kingdom
536876,22082,RIBBON REEL STRIPES DESIGN ,2,2010-12-03 11:36:00,3.36,,United Kingdom
536945,48184,DOORMAT ENGLISH ROSE ,1,2010-12-03 12:24:00,7.95,14083,United Kingdom
536945,22278,OVERNIGHT BAG VINTAGE ROSE PAISLEY,1,2010-12-03 12:24:00,4.95,14083,United Kingdom
536945,84969,BOX OF 6 ASSORTED COLOUR TEASPOONS,1,2010-12-03 12:24:00,4.25,14083,United Kingdom
536946,22812,PACK 3 BOXES CHRISTMAS PANNETONE,12,2010-12-03 12:28:00,1.95,13013,United Kingdom
536971,21700,BIG DOUGHNUT FRIDGE MAGNETS,24,2010-12-03 13:40:00,0.85,12779,Poland
536973,48138,DOORMAT UNION FLAG,10,2010-12-03 13:43:00,6.75,17787,United Kingdom
536973,82551,LAUNDRY 15C METAL SIGN,6,2010-12-03 13:43:00,1.45,17787,United Kingdom
536975,22549,PICTURE DOMINOES,12,2010-12-03 14:04:00,1.45,14911,EIRE
536975,22572,ROCKING HORSE GREEN CHRISTMAS ,12,2010-12-03 14:04:00,0.85,14911,EIRE
536977,21974,SET OF 36 PAISLEY FLOWER DOILIES,2,2010-12-03 14:18:00,1.45,17954,United Kingdom
536976,21982,PACK OF 12 SUKI TISSUES ,3,2010-12-03 14:18:00,0.29,14723,United Kingdom
536981,22130,PARTY CONE CHRISTMAS DECORATION ,6,2010-12-03 14:26:00,0.85,14723,United Kingdom
536982,22646,CERAMIC STRAWBERRY CAKE MONEY BANK,4,2010-12-03 14:27:00,4.21,,United Kingdom
536982,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,20,2010-12-03 14:27:00,8.47,,United Kingdom
536983,22914,BLUE COAT RACK PARIS FASHION,3,2010-12-03 14:30:00,4.95,12712,Germany
536987,48184,DOORMAT ENGLISH ROSE ,1,2010-12-03 14:54:00,7.95,17198,United Kingdom
536988,22075,6 RIBBONS ELEGANT CHRISTMAS ,3,2010-12-03 15:05:00,1.65,17238,United Kingdom
537023,20724,RED RETROSPOT CHARLOTTE BAG,2,2010-12-03 16:02:00,0.85,16725,United Kingdom
537036,82551,LAUNDRY 15C METAL SIGN,1,2010-12-03 17:28:00,1.45,15545,United Kingdom
537036,22837,HOT WATER BOTTLE BABUSHKA ,5,2010-12-03 17:28:00,4.65,15545,United Kingdom
537037,82494L,WOODEN FRAME ANTIQUE WHITE ,6,2010-12-05 10:03:00,2.95,17243,United Kingdom
537045,21181,PLEASE ONE PERSON METAL SIGN,2,2010-12-05 10:54:00,2.10,15038,United Kingdom
537047,22080,RIBBON REEL POLKADOTS ,1,2010-12-05 11:02:00,1.65,13069,United Kingdom
537049,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,4,2010-12-05 11:04:00,3.75,16241,United Kingdom
537050,20615,BLUE POLKADOT PASSPORT COVER,1,2010-12-05 11:10:00,2.10,14800,United Kingdom
537051,85123A,WHITE HANGING HEART T-LIGHT HOLDER,3,2010-12-05 11:12:00,2.95,15708,United Kingdom
537054,22735,RIBBON REEL SOCKS AND MITTENS,1,2010-12-05 11:40:00,1.65,16931,United Kingdom
537054,22141,CHRISTMAS CRAFT TREE TOP ANGEL,1,2010-12-05 11:40:00,2.10,16931,United Kingdom
537054,22745,POPPY'S PLAYHOUSE BEDROOM ,1,2010-12-05 11:40:00,2.10,16931,United Kingdom
537059,22754,SMALL RED BABUSHKA NOTEBOOK ,1,2010-12-05 11:54:00,0.85,14813,United Kingdom
537065,21774,DECORATIVE CATS BATHROOM BOTTLE,12,2010-12-05 11:57:00,1.25,12567,France
537065,16238,PARTY TIME PENCIL ERASERS,28,2010-12-05 11:57:00,0.21,12567,France
537065,21892,TRADITIONAL WOODEN CATCH CUP GAME ,12,2010-12-05 11:57:00,1.25,12567,France
537077,M,Manual,12,2010-12-05 11:59:00,0.42,17062,United Kingdom
537077,21354,TOAST ITS - BEST MUM,3,2010-12-05 11:59:00,1.25,17062,United Kingdom
537111,22972,CHILDREN'S SPACEBOY MUG,6,2010-12-05 12:08:00,1.65,14810,United Kingdom
537126,21110,LARGE CAKE TOWEL PINK SPOTS,2,2010-12-05 12:13:00,6.75,18118,United Kingdom
537126,20724,RED RETROSPOT CHARLOTTE BAG,3,2010-12-05 12:13:00,0.85,18118,United Kingdom
537131,22638,SET OF 4 NAPKIN CHARMS CROWNS ,1,2010-12-05 12:26:00,2.55,15716,United Kingdom
537131,85049E,SCANDINAVIAN REDS RIBBONS,3,2010-12-05 12:26:00,1.25,15716,United Kingdom
537133,22114,HOT WATER BOTTLE TEA AND SYMPATHY,1,2010-12-05 12:29:00,3.95,18156,United Kingdom
537133,22896,PEG BAG APPLES DESIGN,1,2010-12-05 12:29:00,2.55,18156,United Kingdom
537133,22110,BIRD HOUSE HOT WATER BOTTLE,1,2010-12-05 12:29:00,2.55,18156,United Kingdom
537133,21563,RED HEART SHAPE LOVE BUCKET ,2,2010-12-05 12:29:00,2.95,18156,United Kingdom
537135,85064,CREAM SWEETHEART LETTER RACK,2,2010-12-05 12:35:00,5.45,17059,United Kingdom
537135,85049E,SCANDINAVIAN REDS RIBBONS,3,2010-12-05 12:35:00,1.25,17059,United Kingdom
537136,15036,ASSORTED COLOURS SILK FAN,12,2010-12-05 12:42:00,0.75,12748,United Kingdom
537136,35471D,SET OF 3 BIRD LIGHT PINK FEATHER ,2,2010-12-05 12:42:00,1.25,12748,United Kingdom
537137,84050,PINK HEART SHAPE EGG FRYING PAN,4,2010-12-05 12:43:00,1.65,16327,United Kingdom
537137,22560,TRADITIONAL MODELLING CLAY,2,2010-12-05 12:43:00,1.25,16327,United Kingdom
537137,82578,KITCHEN METAL SIGN,4,2010-12-05 12:43:00,0.55,16327,United Kingdom
537138,22732,3D VINTAGE CHRISTMAS STICKERS ,5,2010-12-05 12:44:00,1.25,17211,United Kingdom
537140,22488,NATURAL SLATE RECTANGLE CHALKBOARD,1,2010-12-05 12:53:00,1.65,12748,United Kingdom
537140,21916,SET 12 RETRO WHITE CHALK STICKS,1,2010-12-05 12:53:00,0.42,12748,United Kingdom
537141,21485,RETROSPOT HEART HOT WATER BOTTLE,4,2010-12-05 12:57:00,4.95,15570,United Kingdom
537144,22557,PLASTERS IN TIN VINTAGE PAISLEY ,2,2010-12-05 13:00:00,1.65,15880,United Kingdom
537144,21163,DO NOT TOUCH MY STUFF DOOR HANGER ,1,2010-12-05 13:00:00,1.45,15880,United Kingdom
537144,22784,LANTERN CREAM GAZEBO ,1,2010-12-05 13:00:00,4.95,15880,United Kingdom
537155,84827,ASS DES PHONE SPONGE CRAFT STICKER,1,2010-12-05 13:05:00,0.65,12748,United Kingdom
537155,22553,PLASTERS IN TIN SKULLS,1,2010-12-05 13:05:00,1.65,12748,United Kingdom
537154,21787,RAIN PONCHO RETROSPOT,1,2010-12-05 13:05:00,0.85,15808,United Kingdom
537154,20977,36 PENCILS TUBE WOODLAND,1,2010-12-05 13:05:00,1.25,15808,United Kingdom
537155,20754,RETROSPOT RED WASHING UP GLOVES,1,2010-12-05 13:05:00,2.10,12748,United Kingdom
C537157,35953,FOLKART STAR CHRISTMAS DECORATIONS,-24,2010-12-05 13:09:00,1.25,15880,United Kingdom
537159,22946,WOODEN ADVENT CALENDAR CREAM,2,2010-12-05 13:17:00,16.95,14527,United Kingdom
537192,22859,EASTER TIN BUNNY BOUQUET,2,2010-12-05 13:42:00,1.65,16402,United Kingdom
537193,22470,HEART OF WICKER LARGE,12,2010-12-05 13:49:00,2.95,15023,United Kingdom
537196,22430,ENAMEL WATERING CAN CREAM,1,2010-12-05 13:55:00,4.95,15426,United Kingdom
537196,47559B,TEA TIME OVEN GLOVE,2,2010-12-05 13:55:00,1.25,15426,United Kingdom
537196,21754,HOME BUILDING BLOCK WORD,2,2010-12-05 13:55:00,5.95,15426,United Kingdom
537196,21116,OWL DOORSTOP,1,2010-12-05 13:55:00,4.95,15426,United Kingdom
537195,22778,GLASS CLOCHE SMALL,2,2010-12-05 13:55:00,3.95,15311,United Kingdom
537197,22842,BISCUIT TIN VINTAGE RED,2,2010-12-05 14:02:00,6.75,12647,Germany
537199,21849,SILVER DIAMANTE PEN IN GIFT BOX,4,2010-12-05 14:06:00,4.95,15894,United Kingdom
537200,47343A,FUSCHIA FLOWER PURSE WITH BEADS,3,2010-12-05 14:17:00,1.49,15867,United Kingdom
537201,22079,RIBBON REEL HEARTS DESIGN ,10,2010-12-05 14:19:00,1.65,12472,Germany
537201,22963,JAM JAR WITH GREEN LID,24,2010-12-05 14:19:00,0.85,12472,Germany
537201,22816,CARD MOTORBIKE SANTA,12,2010-12-05 14:19:00,0.42,12472,Germany
537202,22130,PARTY CONE CHRISTMAS DECORATION ,6,2010-12-05 14:25:00,0.85,14506,United Kingdom
537202,22586,FELTCRAFT HAIRBAND PINK AND BLUE,1,2010-12-05 14:25:00,0.85,14506,United Kingdom
537205,22231,JIGSAW TREE WITH BIRDHOUSE,12,2010-12-05 14:52:00,1.45,13034,United Kingdom
537208,84879,ASSORTED COLOUR BIRD ORNAMENT,8,2010-12-05 15:12:00,1.69,15889,United Kingdom
537213,85215,ASSORTED CHEESE FRIDGE MAGNETS,1,2010-12-05 15:26:00,0.65,12748,United Kingdom
537217,22849,"BREAD BIN, DINER STYLE, MINT",4,2010-12-05 15:40:00,14.95,15502,United Kingdom
537219,22142,CHRISTMAS CRAFT WHITE FAIRY ,2,2010-12-05 15:47:00,1.45,14081,United Kingdom
537219,21890,S/6 WOODEN SKITTLES IN COTTON BAG,1,2010-12-05 15:47:00,2.95,14081,United Kingdom
537224,22294,HEART FILIGREE DOVE  SMALL,7,2010-12-05 16:24:00,1.25,13174,United Kingdom
537224,21192,WHITE BELL HONEYCOMB PAPER ,3,2010-12-05 16:24:00,1.65,13174,United Kingdom
537224,21192,WHITE BELL HONEYCOMB PAPER ,5,2010-12-05 16:24:00,1.65,13174,United Kingdom
537225,22585,PACK OF 6 BIRDY GIFT TAGS,5,2010-12-05 16:41:00,1.25,12748,United Kingdom
537236,85048,15CM CHRISTMAS GLASS BALL 20 LIGHTS,4,2010-12-06 09:52:00,7.95,16858,United Kingdom
537237,21169,YOU'RE CONFUSING ME METAL SIGN ,1,2010-12-06 09:58:00,4.21,,United Kingdom
537237,22470,HEART OF WICKER LARGE,2,2010-12-06 09:58:00,5.91,,United Kingdom
537237,70006,LOVE HEART POCKET WARMER,1,2010-12-06 09:58:00,3.36,,United Kingdom
537237,84923,PINK BUTTERFLY HANDBAG W BOBBLES,2,2010-12-06 09:58:00,4.21,,United Kingdom
537237,22329,ROUND CONTAINER SET OF 5 RETROSPOT,2,2010-12-06 09:58:00,3.36,,United Kingdom
537237,21488,RED WHITE SCARF  HOT WATER BOTTLE,1,2010-12-06 09:58:00,8.47,,United Kingdom
537237,82582,AREA PATROLLED METAL SIGN,1,2010-12-06 09:58:00,4.21,,United Kingdom
537237,85014A,BLACK/BLUE POLKADOT UMBRELLA,1,2010-12-06 09:58:00,12.72,,United Kingdom
537237,22951,60 CAKE CASES DOLLY GIRL DESIGN,1,2010-12-06 09:58:00,1.28,,United Kingdom
537237,22748,POPPY'S PLAYHOUSE KITCHEN,4,2010-12-06 09:58:00,4.21,,United Kingdom
537237,22271,FELTCRAFT DOLL ROSIE,1,2010-12-06 09:58:00,5.91,,United Kingdom
537237,90013C,GREEN VINTAGE EARRINGS ,1,2010-12-06 09:58:00,4.24,,United Kingdom
537237,21974,SET OF 36 PAISLEY FLOWER DOILIES,1,2010-12-06 09:58:00,2.98,,United Kingdom
537237,21627,ELEPHANT CARNIVAL POUFFE,1,2010-12-06 09:58:00,29.79,,United Kingdom
537237,22311,OFFICE MUG WARMER BLACK+SILVER ,5,2010-12-06 09:58:00,5.91,,United Kingdom
